3,4.0;38.0;128.0,[ 4.78629463 14.34440598];[ 3.40787097 13.9501838 ];[ 8.97855812 11.97406267],16;15;12,8.0;7.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
1,380.0,[ 6.23431418 13.53647229],16,7.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
1,118.0,[ 5.45460855 13.05015684],16,8.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
1,514.0,[ 5.55227818 15.85247133],16,6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
3,90.0;118.0;174.0,[ 5.6328956  14.53547379];[ 3.9032594  14.07653247];[ 5.88946505 17.03192875],16;15;21,8.5;6.5;7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
2,166.0;176.0,[ 6.95336507 15.40795315];[ 5.2564217  11.92768473],16;11,7.5;8.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
2,192.0;356.0,[ 6.3572901  14.41352924];[ 8.65351904 14.00243415],16;17,7.5;8.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
1,152.0,[ 6.00078129 14.03291898],16,7.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
1,176.0,[ 4.71761546 15.3825627 ],16,8.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
4,58.0;90.0;106.0;122.0,[ 4.70514827 14.10416941];[ 5.42557461 11.96048076];[ 6.47427556 16.13079211];[ 3.97849382 14.33921309],16;11;21;15,7.0;8.5;7.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
1,378.0,[ 4.64429713 14.58552198],16,7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
2,312.0;362.0,[ 5.31132432 11.95908674];[ 5.95131221 13.85393664],11;16,9.0;8.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
2,98.0;108.0,[ 5.99751903 14.02139766];[ 5.51561376 11.95406691],16;11,8.0;8.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
1,174.0,[ 5.99999596 13.86734831],16,6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
3,94.0;140.0;590.0,[ 8.71294164 14.15725112];[ 5.68645616 13.0787956 ];[ 3.5174386  15.50251764],17;16;15,6.5;6.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
2,444.0;502.0,[ 5.99440345 13.84738974];[ 9.55270451 13.42567326],16;17,6.5;7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
2,64.0;574.0,[ 5.75369123 14.19848193];[ 6.99543207 16.03818236],16;21,9.0;7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
3,350.0;394.0;468.0,[ 6.72231007 14.93300358];[ 5.95456327 16.08193437];[ 8.00225444 14.00198352],16;21;17,8.0;6.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
1,448.0,[ 5.56248362 14.04580802],16,10.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
1,224.0,[ 6.19659192 13.89074133],16,7.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0
